endereco,bairro_cidade,preco,area,quartos,vagas
SHIN QI 6 Conjunto 5," LAGO NORTE, BRASILIA",15.062543139106937,5.942799375126701,4.0,4.0
QI 3," SETOR INDUSTRIAL, TAGUATINGA",13.407543823396258,4.6443908991413725,2.0,1.0
SMPW Quadra 23," PARK WAY, BRASILIA",15.039286283703994,6.8885724595653635,5.0,4.0
EPTG Chacará 54," VICENTE PIRES, VICENTE PIRES",13.901689171636098,5.3981627015177525,3.0,2.0
Ville de Montagne," JARDIM BOTANICO, BRASILIA",14.682611465815636,5.771441123130016,3.0,2.0
Avenida das Araucárias," SUL, AGUAS CLARAS",13.39239204133378,4.110873864173311,2.0,1.0
SQNW 104," NOROESTE, BRASILIA",15.134329021410405,5.602118820879701,4.0,4.0
RODOVIA DF 0150 KM 4,"5, SETOR HABITACIONAL CONTAGEM, SOBRADINHO",13.217675375388819,5.303304908059076,3.0,3.0
Rua 18," NORTE, AGUAS CLARAS",13.199326270390594,4.2626798770413155,3.0,1.0
Condomínio Ouro Vermelho I," JARDIM BOTANICO, BRASILIA",14.711598990684092,6.089044875446846,4.0,6.0
SMPW Quadra 18," PARK WAY, BRASILIA",15.067988057145726,6.267200548541362,4.0,1.0
SMPW Quadra 17," PARK WAY, BRASILIA",15.319588176962746,6.111467339502679,4.0,4.0
Rua 9," SUL, AGUAS CLARAS",13.407543823396258,4.3694478524670215,3.0,1.0
Rua DAS CARNAUBAS," NORTE, AGUAS CLARAS",13.591117476312084,4.406719247264253,3.0,2.0
RODOVIA DF 0425 KM 02," SETOR HABITACIONAL CONTAGEM, SOBRADINHO",13.579789490265188,5.638354669333745,3.0,3.0
Quadra 5 Conjunto E," JARDIM BOTANICO, BRASILIA",15.009433329466965,6.2166061010848646,5.0,6.0
SQNW 306 Bloco H," NOROESTE, BRASILIA",15.118120003282673,5.375278407684165,4.0,4.0
QC 14," JARDINS MANGUEIRAL, BRASILIA",13.579789490265188,4.23410650459726,3.0,2.0
SMPW Quadra 26," PARK WAY, BRASILIA",15.176487367510099,6.55250788703459,4.0,4.0
Condomínio Solar da Serra," JARDIM BOTANICO, BRASILIA",15.687312888712007,6.723832440821209,6.0,10.0
SMPW Quadra 26," PARK WAY, BRASILIA",15.29711532616119,6.52649485957079,4.0,4.0
SHA Conjunto 6 Chacará 26," ARNIQUEIRA, AGUAS CLARAS",14.452087916136215,6.2166061010848646,4.0,2.0
Rua COPAIBA," NORTE, AGUAS CLARAS",13.742940940397677,4.68213122712422,3.0,2.0
QC 8," JARDINS MANGUEIRAL, BRASILIA",13.26212705890841,4.23410650459726,3.0,2.0
SQNW 105," NOROESTE, BRASILIA",14.99416586199818,5.272999558563747,4.0,3.0
SQN 214 Bloco A," ASA NORTE, BRASILIA",14.115615891155079,4.584967478670572,3.0,1.0
Avenida das Araucárias," SUL, AGUAS CLARAS",14.038654909278163,4.859812404361672,3.0,2.0
SMPW Quadra 26 Conjunto 7," PARK WAY, BRASILIA",15.039286283703994,6.555356891810665,4.0,4.0
Quadra 209," SUL, AGUAS CLARAS",13.698977865303197,4.553876891600541,3.0,2.0
Quadra 205," SUL, AGUAS CLARAS",13.955273369904273,4.852030263919617,3.0,2.0
SHA Conjunto 5," ARNIQUEIRA, AGUAS CLARAS",14.220976332738882,5.802118375377063,3.0,3.0
RODOVIA BR 0020 KM 12,"5, ALTO DA BOA VISTA, SOBRADINHO",14.038654909278163,5.308267697401205,3.0,2.0
SQNW 104 Bloco F," NOROESTE, BRASILIA",14.275082465506857,4.48863636973214,3.0,2.0
Area Especial 04 Lotes E F," GUARA II, GUARA",13.95091606833254,4.736198448394496,4.0,2.0
Condomínio Estancia Quintas da Alvorada," JARDIM BOTANICO, BRASILIA",14.603968372873895,5.921578419643816,4.0,5.0
SHIS QI 15," LAGO SUL, BRASILIA",15.687312888712007,6.5337888379333435,5.0,4.0
Quadra 2 Conjunto A 1," SOBRADINHO, SOBRADINHO",13.384729180332174,4.31748811353631,3.0,2.0
QN 412 Conjunto A," SAMAMBAIA NORTE, SAMAMBAIA",13.45883704259595,4.7535901911063645,2.0,1.0
Avenida das Araucárias," SUL, AGUAS CLARAS",14.580978865220017,5.318119993844216,4.0,2.0
SHIN QI 9," LAGO NORTE, BRASILIA",15.250595321348806,6.035481432524756,4.0,6.0
RODOVIA BR 0020 KM 2,"6, REGIAO DOS LAGOS, SOBRADINHO",13.805461232211272,5.929589143389895,4.0,2.0
SHIN QI 12," LAGO NORTE, BRASILIA",15.121137287019383,7.0909098220799835,6.0,8.0
Quadra 104," NORTE, AGUAS CLARAS",14.508658238524095,5.062595033026967,4.0,2.0
RODOVIA BR 0020 KM 12,"5, ALTO DA BOA VISTA, SOBRADINHO",14.626441218624949,5.726847747587197,4.0,2.0
SGCV," PARK SUL, BRASILIA",12.923914877701906,3.4339872044851463,1.0,1.0
SQS 114," ASA SUL, BRASILIA",14.845130332288226,5.062595033026967,3.0,1.0
